,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID
51,1.96e+18,2/9/2025 8:07,286,maripahami impunitas melanggengkan penyiksaan dan kekerasan polisi impunitas dan tidak adanya upaya reformasi polri berbasis ham melanggengkan praktik penyiksaan kekerasan serta penggunaan kekuatan berlebih oleh kepolisian reformasipolri,1.96e+18,https://pbs.twimg.com/amplify_video_thumb/1962789201445036032/img/HJ4sCHQBzio-rwXS.jpg,,in,5,2,201,https://x.com/undefined/status/1962789356961440205,203158484.0,ReformasiPolri,52
52,1.96e+18,2/9/2025 7:42,0,kalau kita cermati sungguh sungguh sebenarnya tidak melakukan tindakan apapun dalam mengatasi krisis kepercayaan rakyat kepada pemerintah yang sangat akut ini kecuali memanggil sejumlah manula ke istana dan malah memberi penghargaan pada polisi reformasipolri ruuperampasanaset,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962783266655834386,183561552.0,ReformasiPolri,53
53,1.96e+18,2/9/2025 5:09,0,berarti kekerasan dan anarkisme polisi selama ini mendapatkan restu negara begitu kan mentally retarded presiden polisipembunuh reformasipolri,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962744606594081220,93312464.0,ReformasiPolri,54
54,1.96e+18,2/9/2025 4:51,1,lebih semarang polisi berlaku kejam siksa mahasiswa amplifier tahanan physical education ada yang muntah darah reformasipolri reformasipolisi,1.96e+18,,,in,0,0,1,https://x.com/undefined/status/1962740113173295278,3152238055.0,ReformasiPolri,55
55,1.96e+18,2/9/2025 4:41,1,kaum perusuh pembakar amplifier penjarah itu memang digerakan tiba tiba datang lemparkan bro molotov yang sudah disiapkan lalu kabur hilang mereka bukan mahswa bukan buruh bukan pendemo reformasipolri reformasipolisi adilijokowiamannegeri,1.96e+18,,,in,0,0,1,https://x.com/undefined/status/1962737526722162714,3152238055.0,ReformasiPolri,56
56,1.96e+18,2/9/2025 4:34,1,kenapa harus reformasipolri terlalu banyak alasan mendasar yang kecil kecil seperti ini banyak sekali jenisnya gelapkan motor orang lain hanya dihukum pakai helm merah bukankah ini sudah pidana apalagi aparat 2x lebih berat seperti hukuman pramuka telat baris saja payaah,1.96e+18,,,in,0,0,1,https://x.com/undefined/status/1962735904076046829,3152238055.0,ReformasiPolri,57
57,1.96e+18,1/9/2025 18:06,1,ketua bem perjuangkan mahasiswa yang masih ditahan polisi karena demo saat komisi dpr datang ke polda do it yourself juga lantang teriakan reformasipolri reformasipolisi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962577793260364073,3152238055.0,ReformasiPolri,58
58,1.96e+18,1/9/2025 16:59,23,harus berapa nyawa lagi yang harus berkorban demi kekhilafan aparatmu mbah wo affan sudah dilindas rheza sudah dipukul andika sudah ditendang kini iko menyusul selamat jalan teman reformasipolri,1.96e+18,,txtdrimedia,in,0,1,6,https://x.com/undefined/status/1962560927615856782,1.72e+18,ReformasiPolri,59
59,1.96e+18,1/9/2025 14:28,0,afan kurniawan adalah simbol rakyat kecil yang tertindas oleh sistem jika pemerintah abai krisis bisa berubah jadi kerusuhan besar saksikan analisis lengkap di video kami reformasipolri suararakyat anakbangsa,1.96e+18,,gadislisong,in,0,0,0,https://x.com/undefined/status/1962523040341983321,1.17e+18,ReformasiPolri,60
60,1.96e+18,1/9/2025 14:28,0,banyak yang menduga sabotase diamdiam bisa terjadi dari orang dekat prabowo sendiri krisis beras pajak mencekik hingga kasus afan semua berpotensi melemahkan pemerintahannya politikindonesia reformasipolri,1.96e+18,,gadislisong,in,0,1,0,https://x.com/undefined/status/1962523033668915452,1.17e+18,ReformasiPolri,61
61,1.96e+18,1/9/2025 14:28,0,demo amplifier agustus memuncak rakyat marah karena krisis ekonomi pajak naik amplifier kelangkaan beras kematian afan kurniawan driver ojol jadi titik application programming interface yang menyulut emosi kolektif reformasipolri afankurniawan,1.96e+18,,gadislisong,in,0,1,0,https://x.com/undefined/status/1962523024751837189,1.17e+18,ReformasiPolri,62
62,1.96e+18,1/9/2025 14:28,0,afan kurniawan bukan sekadar korban dia simbol kemarahan rakyat polisi arogan harus diusut polri wajib direformasi prabowo harus berani bersihbersih atau sabotase akan melemahkan pemerintahannya sendiri reformasipolri krisisindonesia suararakyat,1.96e+18,,,in,0,1,0,https://x.com/undefined/status/1962523022881140916,1.17e+18,ReformasiPolri,63
63,1.96e+18,1/9/2025 14:25,0,krisis beras pajak naik rakyat marah kematian afan kurniawan jadi titik application programming interface dpr amplifier pejabat jangan arogan polri wajib dirombak intelijen harus ungkap provokator indonesia butuh ketegasan amplifier empati keadilanuntukrakyat reformasipolri anakbangsa,1.96e+18,,,in,0,1,0,https://x.com/undefined/status/1962522266954322304,1.17e+18,ReformasiPolri,64
64,1.96e+18,1/9/2025 14:24,0,demo rakyat memuncak pasca kematian afan kurniawan publik menuntut reformasi polri total bukan sekadar janji jika prabowo tidak berani rotasi besarbesaran potensi kerusuhan makin besar reformasipolri demoindonesia afankurniawan,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962521924288033250,1.17e+18,ReformasiPolri,65
65,1.96e+18,1/9/2025 12:45,0,reformasipolri agar polri lebih baik dan benar,1.96e+18,,Mdy_Asmara1701,in,0,0,0,https://x.com/undefined/status/1962496930556375290,7.8e+17,ReformasiPolri,66
66,1.96e+18,1/9/2025 12:32,0,ini kemana pada saat demo ketahuan kan ormas pada sebagai alat kekuasaan ormas demokrattolaktunjangandpr reformasipolri,1.96e+18,https://pbs.twimg.com/media/GzwtlJWaMAAFJsV.jpg,,in,0,0,0,https://x.com/undefined/status/1962493657388634575,1.36e+18,ReformasiPolri,67
67,1.96e+18,1/9/2025 8:27,0,inilah polisi indonesia reformasipolri,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962432082086605251,1.52e+18,ReformasiPolri,68
68,1.96e+18,1/9/2025 4:00,0,aparat tidak terkendali reformasipolri reformasipolisi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962365032915984638,3152238055.0,ReformasiPolri,69
69,1.96e+18,1/9/2025 1:17,1,seperti ini mau berlanjut reformasipolri reformasipolisi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962323778660364437,3152238055.0,ReformasiPolri,70
70,1.96e+18,31/08/2025 15:27,0,sejauh ini polisi sudah di demo general publik ojol mahasiswa ambulans punya some shame fuckers reformasipolri acab,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962175415617011903,1.38e+18,ReformasiPolri,71
71,1.96e+18,31/08/2025 15:24,1,ditabrak dan dilindas kakak bukan tertabrak reformasipolri,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962174778414191097,907649371.0,ReformasiPolri,72
72,1.96e+18,31/08/2025 13:36,6,no itu sudah intelligence intelligence provokator kaos hitam pakai helm bawa bawa pentungan memang aparat itu jobdesc nya mukulin rakyat kalau ngamanin rakyat apa bawa senjata rakyat itu hanya bawa badan doang acab reformasipolri reformasitni,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962147480931594613,83189369.0,ReformasiPolri,73
73,1.96e+18,31/08/2025 13:31,1,usut tuntas amplifier berhenti kebrutalan polisi rakyat bukan musuh reformasipolri reformasipolisi,1.96e+18,,,in,0,0,1,https://x.com/undefined/status/1962146174800138529,3152238055.0,ReformasiPolri,74
74,1.96e+18,31/08/2025 12:59,0,yang protes itu rakyatmu bapak yang membiayai hidupmu dan orang di kanankirimu itu seperti bisa hidup tanpa rakyat saja reformasipolri,1.96e+18,,prabowo,in,0,0,0,https://x.com/undefined/status/1962138174727319598,9.83e+17,ReformasiPolri,75
75,1.96e+18,31/08/2025 12:22,0,izin sayang sayang aku sms message svt be there soon day6 ampteam aku sibuk sama negaraku dulu ya sayang resetindonesia reformasidpr reformasipolri,1.96e+18,https://pbs.twimg.com/media/Gzrh3LWbcAA7ktC.jpg,,in,0,0,0,https://x.com/undefined/status/1962128927864095033,1.46e+18,ReformasiPolri,76
76,1.96e+18,31/08/2025 12:19,1,yth presiden aksi terakhir menelan nyawa wni demi keadilan amplifier kepercayaan publik kami mohon bebaskan peserta demo yang ditahan ganti kapolri amplifier evaluasi institusi hukum berat brimob batalkan pajak yang memberatkan ganti menkeu reformasipolri tolakpajak,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962128090232140118,1.43e+18,ReformasiPolri,77
77,1.96e+18,31/08/2025 11:54,0,primawan dwiki kami catat nama dan mukamu acab reformasipolri,1.96e+18,,abcoulut,in,0,0,1,https://x.com/undefined/status/1962121929202253948,1.68e+18,ReformasiPolri,78
78,1.96e+18,31/08/2025 11:18,118,hari ini diaspora berlin bergerak resetindonesia berlinbergerak reformasipolri hiya ada yang jualan batagor,1.96e+18,https://pbs.twimg.com/media/GzrTKJgXcAAEqkE.jpg,,in,2,0,44,https://x.com/undefined/status/1962112768972071336,64914751.0,ReformasiPolri,79
79,1.96e+18,31/08/2025 06:39,1,perjuangan rakyat sejatinya tidak pernah kalah karena suarasuara lantang yang mengutuk penindasan masih terdengar tetaplah teguh kawanku sungguh perjuangan kita sudah benar tetap saling menjaga antar warga karena kita hanya memiliki kita bubarkandpr reformasipolri,1.96e+18,https://pbs.twimg.com/ext_tw_video_thumb/1962042227863203840/pu/img/CNs89maCVs_T2GMR.jpg,,in,0,1,0,https://x.com/undefined/status/1962042489956933723,1.76e+18,ReformasiPolri,80
80,1.96e+18,31/08/2025 04:40,0,forum advokasi ugm berdiri bersama keluarga korban bersama paralytic burug yang ditindas dan bersama seluruh rakyat yang suaranya hendak dibungkam kami bersuara karena diam berarti bersekutu dengan penindasan justiceforaffan hentikanrepresifitasnegara reformasipolri,1.96e+18,,formad_ugm,in,0,0,0,https://x.com/undefined/status/1962012665657901190,3189505243.0,ReformasiPolri,81
81,1.96e+18,31/08/2025 00:52,0,bubarkandpr reformasipolri kalian tidak bisa seenak nya sama rakyat,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1961955198785708436,1.61e+18,ReformasiPolri,82
82,1.96e+18,31/08/2025 00:36,0,pemilu ulang reformasipolri reformasidpr pemiluulang,1.96e+18,,ComradNobody,in,0,1,0,https://x.com/undefined/status/1961951069287895455,1.57e+18,ReformasiPolri,83
