conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID
1.96E+18,2/9/2025 4:51,1,LBH Semarang: Polisi Berlaku Kejam Siksa Mahasiswa &amp; Tahanan pe ada yg muntah darah. #ReformasiPOLRI #reformasiPolisi https://t.co/xS5WhSPxPu,1.96E+18,,,in,0,0,1,https://x.com/undefined/status/1962740113173295278,3152238055,ReformasiPolri,55
1.96E+18,2/9/2025 4:41,1,Kaum Perusuh (Pembakar &amp; Penjarah) itu memang digerakan. Tiba2 datang lemparkan bom molotov yg sdh disiapkan lalu kabur ilang. Mereka Bukan Mahswa Bukan Buruh Bukan Pendemo. #ReformasiPOLRI #reformasiPolisi #adilijokowiamannegeri https://t.co/DVEIJJ9gkH,1.96E+18,,,in,0,0,1,https://x.com/undefined/status/1962737526722162714,3152238055,ReformasiPolri,56
1.96E+18,2/9/2025 4:34,1,Knp Harus #reformasiPOLRI Terlalu Banyak Alasan Mendasar yg kecil2 spt ini banyak skali jenisnya. Gelapkan Motor Org Lain Cuma Dihukum Pakai Helm Merah. Bukankah Ini Sdh Pidana? Apalagi Aparat 2x Lbh Berat. Kek Hukuman Pramuka Telat Baris aja payaah https://t.co/z6jPrskRsS,1.96E+18,,,in,0,0,1,https://x.com/undefined/status/1962735904076046829,3152238055,ReformasiPolri,57
1.96E+18,1/9/2025 18:06,1,Ketua BEM @UGMYogyakarta Perjuangkan Mahasiswa yg masih ditahan Polisi krn Demo saat Komisi 3 DPR datang ke Polda DIY. Juga Lantang Teriakan #reformasiPOLRI #reformasiPolisi https://t.co/TRsVJ9cYCv,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962577793260364073,3152238055,ReformasiPolri,58
1.96E+18,1/9/2025 16:59,23,@txtdrimedia Harus berapa nyawa lagi yang harus berkorban demi kekhilafan aparatmu mbah Wo..? Affan sudah dilindas.. Rheza sudah dipukul.. Andika sudah ditendang.. Kini Iko menyusul.. Selamat jalan kawan.. #ReformasiPOLRI,1.96E+18,,txtdrimedia,in,0,1,6,https://x.com/undefined/status/1962560927615856782,1.72E+18,ReformasiPolri,59
1.96E+18,1/9/2025 14:28,0,Afan Kurniawan adalah simbol: rakyat kecil yang tertindas oleh sistem. Jika pemerintah abai krisis bisa berubah jadi kerusuhan besar. Saksikan analisis lengkap di video kami: https://t.co/ZDSQEVmXm4 #ReformasiPolri #SuaraRakyat #AnakBangsa,1.96E+18,,gadislisong,in,0,0,0,https://x.com/undefined/status/1962523040341983321,1.17E+18,ReformasiPolri,60
1.96E+18,1/9/2025 14:28,0,Banyak yang menduga: ️ Sabotase diam-diam bisa terjadi dari orang dekat Prabowo sendiri. Krisis beras pajak mencekik hingga kasus Afan → semua berpotensi melemahkan pemerintahannya. #PolitikIndonesia #ReformasiPolri,1.96E+18,,gadislisong,in,0,1,0,https://x.com/undefined/status/1962523033668915452,1.17E+18,ReformasiPolri,61
1.96E+18,1/9/2025 14:28,0,Demo 25 &amp; 28 Agustus memuncak. Rakyat marah karena krisis ekonomi pajak naik &amp; kelangkaan beras. Kematian Afan Kurniawan driver ojol jadi titik api yang menyulut emosi kolektif. #ReformasiPolri #AfanKurniawan,1.96E+18,,gadislisong,in,0,1,0,https://x.com/undefined/status/1962523024751837189,1.17E+18,ReformasiPolri,62
1.96E+18,1/9/2025 14:28,0,Afan Kurniawan bukan sekadar korban. Ia simbol kemarahan rakyat. Polisi arogan harus diusut Polri wajib direformasi. Prabowo harus berani bersih-bersih atau sabotase akan melemahkan pemerintahannya sendiri. #ReformasiPolri #KrisisIndonesia #SuaraRakyat,1.96E+18,,,in,0,1,0,https://x.com/undefined/status/1962523022881140916,1.17E+18,ReformasiPolri,63
1.96E+18,1/9/2025 14:25,0,Krisis beras + pajak naik = rakyat marah. Kematian Afan Kurniawan jadi titik api. DPR &amp; pejabat jangan arogan. Polri wajib dirombak intelijen harus ungkap provokator. Indonesia butuh ketegasan &amp; empati. 🇮🇩 #KeadilanUntukRakyat #ReformasiPolri #AnakBangsa,1.96E+18,,,in,0,1,0,https://x.com/undefined/status/1962522266954322304,1.17E+18,ReformasiPolri,64
1.96E+18,1/9/2025 14:24,0,Demo rakyat memuncak pasca kematian Afan Kurniawan. Publik menuntut reformasi Polri total bukan sekadar janji. Jika Prabowo tak berani rotasi besar-besaran potensi kerusuhan makin besar. #ReformasiPolri #DemoIndonesia #AfanKurniawan,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962521924288033250,1.17E+18,ReformasiPolri,65
1.96E+18,1/9/2025 12:45,0,@Mdy_Asmara1701 #reformasipolri agar polri lebih baik dan benar,1.96E+18,,Mdy_Asmara1701,in,0,0,0,https://x.com/undefined/status/1962496930556375290,7.80E+17,ReformasiPolri,66
1.96E+18,1/9/2025 12:32,0,Ini kemana pada saat demo? Ketahuan kan ormas pada sebagai alat kekuasaan #ormas #DemokratTolakTunjanganDPR #ReformasiPOLRI https://t.co/N4C74miuYI,1.96E+18,https://pbs.twimg.com/media/GzwtlJWaMAAFJsV.jpg,,in,0,0,0,https://x.com/undefined/status/1962493657388634575,1.36E+18,ReformasiPolri,67
1.96E+18,1/9/2025 8:27,0,Inilah Polisi Indonesia #ReformasiPOLRI https://t.co/9yj3cGjpBk,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962432082086605251,1.52E+18,ReformasiPolri,68
1.96E+18,1/9/2025 4:00,0,Aparat Tak Terkendali... #reformasiPOLRI #reformasiPOLISI,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962365032915984638,3152238055,ReformasiPolri,69
1.96E+18,1/9/2025 1:17,1,Seperti Ini Mau Berlanjut??? #reformasiPOLRI #reformasiPolisi,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962323778660364437,3152238055,ReformasiPolri,70
1.96E+18,31/08/2025 15:27,0,Sejauh ini polisi udah di demo General public ️ Ojol ️ Mahasiswa ️ Ambulans ️ Have some shame fuckers #ReformasiPOLRI #ACAB,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962175415617011903,1.38E+18,ReformasiPolri,71
1.96E+18,31/08/2025 15:24,1,Ditabrak dan dilindas bang bukan tertabrak #ReformasiPOLRI,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962174778414191097,907649371,ReformasiPolri,72
1.96E+18,31/08/2025 13:36,6,Nah tu dah intel2 provokator kaos item pake helm bawa2 pentungan. Emg aparat tuh jobdesc nya mukulin rakyat. Kl ngamanin rakyat ngapain bw senjata rakyat tuh cuma bawa badan doang #ACAB #reformasiPOLRI #reformasiTNI,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962147480931594613,83189369,ReformasiPolri,73
1.96E+18,31/08/2025 13:31,1,Usut Tuntas &amp; STOP Kebrutalan Polisi. Rakyat Bukan Musuh. #reformasiPOLRI #reformasiPolisi,1.96E+18,,,in,0,0,1,https://x.com/undefined/status/1962146174800138529,3152238055,ReformasiPolri,74
1.96E+18,31/08/2025 12:59,0,@prabowo Yang protes itu rakyatmu pak. Yang membiayai hidupmu dan orang² di kanan-kirimu itu. Kaya bisa hidup tanpa rakyat aja. #reformasiPolri,1.96E+18,,prabowo,in,0,0,0,https://x.com/undefined/status/1962138174727319598,9.83E+17,ReformasiPolri,75
1.96E+18,31/08/2025 12:22,0,izin sayang sayang aku txt svt bts day6 &amp;team aku sibuk sama negaraku dulu yaa sayangggg! #resetindonesia #ReformasiDPR #ReformasiPOLRI https://t.co/I98dZyIX98,1.96E+18,https://pbs.twimg.com/media/Gzrh3LWbcAA7ktC.jpg,,in,0,0,0,https://x.com/undefined/status/1962128927864095033,1.46E+18,ReformasiPolri,76
